created_at,SUHU,KELEMBABAN,IRRADIATION,DEBU,ARUS,TEGANGAN,TANGGAL,JAM
2023-07-1005:00:00,24.6,85.0,19.16667,211.2793,3.3,2.90434,2023-07-10,05:00
2023-07-1005:10:00,24.5,87.0,136.66666,148.19336,4.5,3.85276,2023-07-10,05:10
2023-07-1005:20:00,24.7,87.0,333.33331,139.0625,21.2,18.75012,2023-07-10,05:20
2023-07-1005:30:00,25.0,85.0,1370.0,178.90625,27.0,21.93437,2023-07-10,05:30
2023-07-1005:40:00,25.3,84.0,2323.33325,322.50977,24.8,22.63844,2023-07-10,05:40
2023-07-1005:50:00,25.9,84.0,3551.6665,319.18945,24.9,23.18649,2023-07-10,05:50
2023-07-1006:00:00,26.0,82.0,4303.33301,205.46875,24.9,23.59456,2023-07-10,06:00
2023-07-1006:10:00,26.5,81.0,4855.83301,323.33984,24.7,23.19849,2023-07-10,06:10
2023-07-1006:20:00,27.3,79.0,4870.0,149.02344,24.9,22.84245,2023-07-10,06:20
2023-07-1006:30:00,27.4,76.0,4634.1665,290.13672,24.5,22.76646,2023-07-10,06:30
2023-07-1006:40:00,27.8,75.0,3920.83325,359.86328,24.0,23.09848,2023-07-10,06:40
2023-07-1006:50:00,28.6,72.0,3953.33325,171.43555,24.9,22.86249,2023-07-10,06:50
2023-07-1007:00:00,29.2,72.0,4535.0,340.77148,27.3,22.98648,2023-07-10,07:00
2023-07-1007:10:00,29.6,70.0,5751.6665,99.21875,24.8,23.14968,2023-07-10,07:10
2023-07-1007:20:00,30.4,68.0,7429.1665,298.4375,25.2,22.72252,2023-07-10,07:20
2023-07-1007:30:00,31.6,67.0,8540.83301,125.78125,26.8,22.92253,2023-07-10,07:30
2023-07-1007:40:00,32.4,66.0,9386.66602,217.08984,28.5,22.88251,2023-07-10,07:40
2023-07-1007:50:00,33.4,64.0,10611.66602,261.91406,25.5,22.82249,2023-07-10,07:50
2023-07-1008:00:00,34.7,60.0,11630.0,214.59961,28.3,22.84251,2023-07-10,08:00
2023-07-1008:10:00,35.1,58.0,12997.49902,196.33789,25.5,22.75847,2023-07-10,08:10
2023-07-1008:20:00,35.4,58.0,14608.33301,214.59961,29.3,22.9505,2023-07-10,08:20
2023-07-1008:30:00,36.8,54.0,16134.16602,173.0957,26.4,22.22649,2023-07-10,08:30
2023-07-1008:40:00,36.0,53.0,18225.0,267.72461,24.5,22.57448,2023-07-10,08:40
2023-07-1008:50:00,35.3,54.0,20459.16602,222.90039,25.0,22.5625,2023-07-10,08:50
2023-07-1009:00:00,35.9,53.0,23030.83203,247.80273,28.3,22.8145,2023-07-10,09:00
2023-07-1009:10:00,37.8,51.0,25791.66602,305.9082,25.5,22.41849,2023-07-10,09:10
2023-07-1009:20:00,38.4,51.0,27986.66602,99.21875,28.2,22.56648,2023-07-10,09:20
2023-07-1009:30:00,37.1,50.0,30195.83203,316.69922,25.0,22.35049,2023-07-10,09:30
2023-07-1009:40:00,38.2,50.0,32661.66602,321.67969,22.1,22.67067,2023-07-10,09:40
2023-07-1009:50:00,38.4,51.0,37014.16406,148.19336,28.4,22.22246,2023-07-10,09:50
2023-07-1010:00:00,38.2,50.0,38790.83203,263.57422,24.6,22.53043,2023-07-10,10:00
2023-07-1010:10:00,37.2,51.0,43864.16406,103.36914,25.7,22.67445,2023-07-10,10:10
2023-07-1010:20:00,38.4,51.0,46142.5,201.31836,26.9,22.35443,2023-07-10,10:20
